[17:27:20] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:27:23] [ServerMain/INFO]: Loaded 7 recipes
[17:27:23] [ServerMain/INFO]: Loaded 1271 advancements
[17:27:24] [Server thread/INFO]: Starting minecraft server version 1.20.1
[17:27:24] [Server thread/INFO]: Loading properties
[17:27:24] [Server thread/INFO]: Default game type: SURVIVAL
[17:27:24] [Server thread/INFO]: Generating keypair
[17:27:24] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:27:24] [Server thread/INFO]: Using epoll channel type
[17:27:24] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:27:24] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:27:24] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:27:24] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:27:24] [Server thread/INFO]: Preparing level "world"
[17:27:35] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:27:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:27:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:28:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
